Name-CN,Name-EN,图标分类-CN,图标分类-EN,动效图标,图标预览,LTR,图标标签,UI 设计负责人
空调,air-conditioning,硬件,Hardware,,image.png,是,电空调，家电，温度，过滤器，制暖，制冷，换气,张晏
飞机,airplane,交通旅游,Travel,,airplane.jpg,,,杨威
飞机窗口,airplane-window,交通旅游,Travel,,image.png,是,靠窗，靠边，座椅，窗口，窗户，窗外,张文珠
飞机窗口,airplane-window-one,交通旅游,Travel,,image.png,是,靠窗，靠边，座椅，窗口,张文珠
AirPlay,airplay,硬件,Hardware,,image.png,是,屏幕映像，无线投屏，电脑，显示器,常留留
AirPods,airpods,多媒体音乐,Music,,image.png,否,蓝牙耳机，苹果耳机，耳机，无线耳机,金磊
警报,alarm,安全 & 防护,Safe,,image.png,是,警灯，警报，灯，警示，灵感，提示,刘心乐
闹钟,alarm-clock,时间日期,Time,,image.png,是,倒计时 ，闹钟，时间,常留留
底对齐,align-bottom,编辑,Edit,,image.png,是,底对齐，下对齐,刘心乐
下对齐2,align-bottom-two,编辑,Edit,,image.png,是,底对齐，排版方式,齐奉飞
水平居中对齐2,align-horizontal-center-two,编辑,Edit,,image.png,是,居中对齐，排版方式，横向居中,齐奉飞
水平对齐,align-horizontally,编辑,Edit,,image.png,否,左右居中对齐，中间对齐,刘心乐
左对齐,align-left,编辑,Edit,,image.png,是,左对齐,刘心乐
文字左对齐,align-left-one,编辑,Edit,,image.png,是,文字，左对其，编辑，排版,夏立诚
左对齐2,align-left-two,编辑,Edit,,image.png,是,左对齐，排版方式,齐奉飞
右对齐,align-right,编辑,Edit,,image.png,是,右对齐,刘心乐
文字右对齐,align-right-one,编辑,Edit,,image.png,是,文字，右对其，编辑，排版,夏立诚
右对齐2,align-right-two,编辑,Edit,,image.png,是,右对齐，排版方式,齐奉飞
文字两边对齐,align-text-both,编辑,Edit,,image.png,否,两端对齐，文字对齐,刘心乐
文字两边对齐1,align-text-both-one,编辑,Edit,,image.png,否,文字对齐，左右对齐，两边对齐,刘心乐
文字底对齐,align-text-bottom,编辑,Edit,,image.png,否,文字底对齐,刘心乐
文字底对齐1,align-text-bottom-one,编辑,Edit,,image.png,是,文字对齐，左底对齐,刘心乐
文字居中,align-text-center,编辑,Edit,,image.png,是,居中对齐，文字对齐,刘心乐
文字居中1,align-text-center-one,编辑,Edit,,image.png,否,文字对齐，中对齐,刘心乐
文字居左,align-text-left,编辑,Edit,,image.png,是,左对齐，文字对齐,刘心乐
文字居左1,align-text-left-one,编辑,Edit,,image.png,是,文字对齐，左对齐,刘心乐
文字中间对齐,align-text-middle,编辑,Edit,,image.png,否,居中对齐，居中，聚集,刘心乐
文字中间对齐1,align-text-middle-one,编辑,Edit,,image.png,是,文字对齐，左居中对齐,刘心乐
文字居右,align-text-right,编辑,Edit,,image.png,是,右对齐，文字对齐,刘心乐
文字居右1,align-text-right-one,编辑,Edit,,image.png,是,文字对齐，右对齐,刘心乐
文字顶对齐,align-text-top,编辑,Edit,,image.png,否,文字顶对齐,刘心乐
文字顶对齐1,align-text-top-one,编辑,Edit,,image.png,是,文字对齐，左顶对齐,刘心乐
顶对齐,align-top,编辑,Edit,,image.png,是,顶部对齐，上对齐,刘心乐
上对齐2,align-top-two,编辑,Edit,,image.png,是,顶对齐，上对齐，排版方式，纵向居中,齐奉飞
垂直居中对齐2,align-vertical-center-two,编辑,Edit,,image.png,是,居中对齐，排版方式，纵向居中,齐奉飞
垂直对齐,align-vertically,编辑,Edit,,image.png,是,中间随其，上下居中对齐,刘心乐
底部中心对齐,alignment-bottom-center,编辑,Edit,,image.png,是,底部中心对齐，排版方式，布局,齐奉飞
底部左对齐,alignment-bottom-left,编辑,Edit,,image.png,是,底部左对齐，排版方式，布局,齐奉飞
底部右对齐,alignment-bottom-right,编辑,Edit,,image.png,是,底部右对齐，排版方式，布局,齐奉飞
水平下对齐,alignment-horizontal-bottom,编辑,Edit,,image.png,是,水平下对齐，排版方式，布局,齐奉飞
水平居中对齐,alignment-horizontal-center,编辑,Edit,,image.png,是,水平居中对齐，排版方式，布局,齐奉飞
水平上对齐,alignment-horizontal-top,编辑,Edit,,image.png,是,水平上对齐，排版方式，布局,齐奉飞
左侧下对齐,alignment-left-bottom,编辑,Edit,,image.png,是,左侧下对齐，排版方式，布局,齐奉飞
左侧居中对齐,alignment-left-center,编辑,Edit,,image.png,是,左侧居中对齐，排版方式，布局,齐奉飞
左侧上对齐,alignment-left-top,编辑,Edit,,image.png,是,左侧上对齐，排版方式，布局,齐奉飞
右侧下对齐,alignment-right-bottom,编辑,Edit,,image.png,是,右侧下对齐，排版方式，布局,齐奉飞
右侧居中对齐,alignment-right-center,编辑,Edit,,image.png,是,右侧居中对齐，排版方式，布局,齐奉飞
右侧上对齐,alignment-right-top,编辑,Edit,,image.png,是,右侧上对齐，排版方式，布局,齐奉飞
顶部居中对齐,alignment-top-center,编辑,Edit,,image.png,是,顶部居中对齐，排版方式，布局,齐奉飞
顶部左对齐,alignment-top-left,编辑,Edit,,image.png,是,顶部左对齐，排版方式，布局,齐奉飞
顶部右对齐,alignment-top-right,编辑,Edit,,image.png,是,顶部右对齐，排版方式，布局,齐奉飞
垂直居中对齐,alignment-vertical-center,编辑,Edit,,image.png,是,垂直居中对齐，排版方式，布局,齐奉飞
垂直左对齐,alignment-vertical-left,编辑,Edit,,image.png,是,垂直左对齐，排版方式，布局,齐奉飞
垂直右对齐,alignment-vertical-right,编辑,Edit,,image.png,是,垂直右对齐，排版方式，布局,齐奉飞
支付宝,alipay,品牌,Brand,,image.png,是,手机付款，移动支付，无现金支付，阿里支付，logo,常留留
全部,all-application,基础,Base,是,image.png,否,管理，四块，更多，应用，导航，四宫格，矩阵，米亚格，全部应用，分类,白明泽
字母顺序,alphabetical-sorting,编辑,Edit,,image.png,是,字母顺序，排序，顺序,金磊
字母倒序,alphabetical-sorting-two,编辑,Edit,,image.png,是,字母倒序，排序，顺序,金磊
救护车,ambulance,医疗健康,Health,,ambulance.jpg,是,,杨威
分析,analysis,数据图表,Charts,,image.png,是,网络分析，数据，趋势，统计,常留留
锚点,anchor,链接,Connect,,image.png,否,选中，锚点，可编辑，操作,齐奉飞
锚点,anchor-one,链接,Connect,,image.png,否,曲线，贝塞尔，可编辑，锚点,齐奉飞
锚轮,anchor-round,链接,Connect,,image.png,否,锚点，定位，钢笔工具，曲线，路径,高亚栋
锚方,anchor-squre,链接,Connect,,image.png,否,锚点，定位，钢笔工具，曲线，路径,高亚栋
抛锚,anchor-two,交通旅游,Travel,,image.png,否,抛锚，航行，出海，锚点,金磊
安卓,android,品牌,Brand,,image.png,否,安卓，谷歌，操作系统，logo,常留留
生气,angry-face,表情,Emoji,,image.png,否,生气，表情，愤怒,金磊
圆嘴,anguished-face,表情,Emoji,,image.png,否,圆嘴，表情，目瞪口呆,金磊
公告,announcement,办公文档,Office,,announcement.jpg,是,,杨威
防腐,anti-corrosion,医疗健康,Health,,image.png,是,防腐剂，保存，防腐科，堆积物,常留留
光圈优先,aperture-priority,编辑,Edit,,image.png,否,相机，光圈，照相,李宁
API 接口,api,链接,Connect,,image.png,是,接口，开发，程序，研发，API，关联，连接,金磊
API 应用,api-app,抽象图形,Abstract,,image.png,是,API，应用，抽象，AD 平台,常留留
应用商店,app-store,品牌,Brand,,image.png,是,商店，应用，商城，logo，工具,齐奉飞
切换,app-switch,抽象图形,Abstract,,image.png,否,屏幕切换，轮播，幻屏,金磊
苹果,apple,品牌,Brand,,image.png,是,苹果，手机，电脑，设备，logo,常留留
苹果,apple-one,食品,Foods,,image.png,是,水果，健康，绿色，无公害食品，苹果,常留留
小程序关闭,applet-closed,链接,Connect,,image.png,否,小程序关闭,金磊
应用,application,建筑,Build,是,image.png,否,商店，店铺，门店，商铺，房子,白明泽
应用效果,application-effect,办公文档,Office,,image.png,是,效果，圆环，圆形，连接，关联,田婧
应用菜单,application-menu,编辑,Edit,,image.png,否,菜单，应用，更多,齐奉飞
应用,application-one,抽象图形,Abstract,,image.png,否,受众分析，抽象，立方体,白明泽
应用,application-two,编辑,Edit,,image.png,否,编辑，其他，应用，分类,夏立诚
定时见面,appointment,用户人名,Peoples,,image.png,是,,齐奉飞
水瓶座,aquarius,星座,Constellation,,aquarius.jpg,是,,杨威
凯旋门,arc-de-triomphe,建筑,Build,,image.png,否,楼，门，古建筑，景区,王小犇
射箭,archers-bow,体育运动,Sports,,image.png,是,弓箭,
射箭,archery,体育运动,Sports,,archery.jpg,是,,杨威
区域图,area-map,数据图表,Charts,,image.png,是,数据，图表，区域，面积图，趋势,金磊
竞技场,arena,体育运动,Sports,,image.png,是,竞技场，拳击，拳击台，比赛，擂台，摔跤，体育，运动，体育,梁超
白羊座,aries,星座,Constellation,,aries.jpg,否,,杨威
计算,arithmetic,数据图表,Charts,,image.png,是,计算，算数，计算器，算法,刘心乐
加减乘除,arithmetic-buttons,游戏,Game,,image.png,是,加减乘除 键盘,金磊
计算,arithmetic-one,数据图表,Charts,,image.png,是,计算器，算数，计算，算法,刘心乐
下-箭头,arrow-circle-down,箭头方向,Arrows,,image.png,否,向下，箭头，圆圈箭头,齐奉飞
左-箭头,arrow-circle-left,箭头方向,Arrows,,image.png,是,上一个，箭头，圆圈箭头，左,齐奉飞
右-箭头,arrow-circle-right,箭头方向,Arrows,,image.png,是,下一个，箭头，圆圈箭头，右,齐奉飞
上-箭头,arrow-circle-up,箭头方向,Arrows,,image.png,否,向上，箭头，圆圈箭头,齐奉飞
箭头下,arrow-down,箭头方向,Arrows,,image.png,否,向下，箭头，方向,齐奉飞
方向键,arrow-keys,游戏,Game,,image.png,是,方向键 键盘,金磊
箭头左,arrow-left,箭头方向,Arrows,,image.png,是,箭头，向左，上一个，返回，方向,齐奉飞
箭头左下,arrow-left-down,箭头方向,Arrows,,image.png,是,向左下，箭头，方向,齐奉飞
箭头左上,arrow-left-up,箭头方向,Arrows,,image.png,是,向左上，箭头，方向,齐奉飞
箭头右,arrow-right,箭头方向,Arrows,,image.png,是,向右，箭头，下一个，跳转，方向,齐奉飞
箭头右下,arrow-right-down,箭头方向,Arrows,,image.png,是,向右下，箭头，方向,齐奉飞
箭头右上,arrow-right-up,箭头方向,Arrows,,image.png,是,向右上，箭头，方向,齐奉飞
箭头上,arrow-up,箭头方向,Arrows,,image.png,否,箭头，向上，方向,齐奉飞
流水线,assembly-line,链接,Connect,,image.png,是,流水线，流转，流向，串联，链接，连接，路径,高亚栋
关联,association,抽象图形,Abstract,,image.png,否,交集，关联，联系，A，交叉，编辑,金磊
星号,asterisk,抽象图形,Abstract,,image.png,否,星号，符号，圆形,金磊
星号键,asterisk-key,硬件,Hardware,,image.png,否,星号，按钮,齐奉飞
张大嘴,astonished-face,表情,Emoji,,image.png,否,张大嘴，表情，惊呆,金磊
邮件符号,at-sign,符号标识,Character,,image.png,是,邮件，圈人，提醒用户，相关人,金磊
注意,attention,符号标识,Character,是,image.png,是,提示，注意，警示,刘心乐
音频文件,audio-file,办公文档,Office,,image.png,是,歌曲，音乐，音频，声音,田婧
审核,audit,其它,Others,,image.png,是,印章，评审，审查,常留留
自定对焦,auto-focus,编辑,Edit,,image.png,是,对焦，中心，靶心，旋转,夏立诚
自动高度1,auto-height-one,编辑,Edit,,image.png,否,高度自适应，上下自动，固定宽,齐奉飞
自动行高,auto-line-height,编辑,Edit,,image.png,否,文字，高度自适应，固定高,齐奉飞
自动列宽,auto-line-width,编辑,Edit,,image.png,否,文字，宽度自适应，固定宽,齐奉飞
自动宽度,auto-width,编辑,Edit,,image.png,否,宽度自适应，左右自动，双向箭头,齐奉飞
自动宽度1,auto-width-one,编辑,Edit,,image.png,否,宽度自适应，左右自动，固定高,齐奉飞
头像,avatar,用户人名,Peoples,,avatar.png,是,用户，客户，个人中心，账户中心，我的，员工，男,齐奉飞
平均值,average,数据图表,Charts,,image.png,是,平均，中等，数值，数据，图表，曲线,金磊
航空,aviation,交通旅游,Travel,,image.png,是,飞机，飞行，滑行，飞行中,张文珠
牛油果,avocado,食品,Foods,,image.png,是,牛油果，水果，果蔬,胡玉娜
牛油果,avocado-one,食品,Foods,,image.png,否,果子，水果，食物，零食,孔维佳
婴儿,baby,用户人名,Peoples,,image.png,是,育儿，宝宝，小朋友，婴幼儿，儿童票,常留留
应用,baby-app,母婴儿童,Baby,,image.png,是,电脑，应用，小孩,齐奉飞
奶瓶,baby-bottle,母婴儿童,Baby,,image.png,是,奶瓶，婴儿，牛奶，儿童,白明泽
车载座,baby-car-seat,母婴儿童,Baby,,image.png,是,座椅,齐奉飞
脚掌,baby-feet,母婴儿童,Baby,,image.png,是,脚，脚印,齐奉飞
餐具,baby-meal,母婴儿童,Baby,,image.png,是,餐具，勺子，盘子,齐奉飞
摇玩,baby-mobile,母婴儿童,Baby,,image.png,是,挂钩,齐奉飞
儿童1,baby-one,母婴儿童,Baby,,image.png,否,儿童，宝宝，娃娃,齐奉飞
裤子,baby-pants,母婴儿童,Baby,,image.png,是,裤子，秋裤,齐奉飞
背带,baby-sling,母婴儿童,Baby,,image.png,否,孩子，儿童,齐奉飞
品尝,baby-taste,母婴儿童,Baby,,image.png,是,鬼脸，味道，口味,齐奉飞
学士帽,bachelor-cap,服饰,Clothes,,image.png,是,帽子，学士，博士帽,马玉欣
博士帽1,bachelor-cap-one,服饰,Clothes,,bachelor-cap-one.jpg,是,,杨威
博士帽2,bachelor-cap-two,服饰,Clothes,,bachelor-cap-two.jpg,是,,杨威
上一步,back,编辑,Edit,,image.png,是,撤销，返回，上一步，上一层，快退，后退，跳转，向左,常留留
返回,back-one,箭头方向,Arrows,,back.jpg,是,,杨威
背景颜色,background-color,编辑,Edit,,image.png,是,背景颜色，油漆桶，粉刷，上色，染料,常留留
背包,backpack,服饰,Clothes,,image.png,是,书包，双肩包，运动包，登山包,马玉欣
坏的,bad,手势动作,Hands,,image.png,是,不好，不认可，不肯定,陈子豪
差劲,bad-one,手势动作,Hands,,image.png,是,踩，坏的，不认可,陈子豪
踩,bad-two,手势动作,Hands,,image.png,是,不好，不认可，不肯定,陈子豪
徽章提醒,badge,抽象图形,Abstract,,image.png,是,抽象，框选，提醒,金磊
徽章,badge-two,体育运动,Sports,,image.png,是,徽章,金磊
羽毛球,badminton,体育运动,Sports,,image.png,否,羽毛球，球类，球，运动，网球，体育,梁超
行李延误,baggage-delay,交通旅游,Travel,,image.png,是,行李延误,张文珠
平衡,balance,其它,Others,,image.png,是,平衡点，支撑点，中心,常留留
电子秤,balance-one,体育运动,Sports,,image.png,是,称，减肥，减脂，平衡，体重，重量，质量，沉重，体育,梁超
天平,balance-two,安全 & 防护,Safe,,image.png,否,天平，公平，法律，平衡，衡量，比重,金磊
香蕉,banana,食品,Foods,,image.png,是,果子，水果，食物,孔维佳
银行,bank,电商财产,Money,,image.png,否,钱，银行，财务，财富,史晓彤
银行卡,bank-card,电商财产,Money,,image.png,是,银行卡，卡片，证件,刘心乐
银行卡,bank-card-one,电商财产,Money,,image.png,是,钱，银行，财务，财富,史晓彤
银行卡,bank-card-two,电商财产,Money,,image.png,是,银行卡，财富，前，金钱，银行，卡片,金磊
银行转账,bank-transfer,电商财产,Money,,image.png,是,银行，转账,齐奉飞
精灵球,baokemeng,体育运动,Sports,,image.png,否,球类，球，弹性球，圆球，彩色球，水晶球，精灵,梁超
条形码,bar-code,电商财产,Money,,image.png,是,条形码，扫码，支付，结账,常留留
烧烤,barbecue,食品,Foods,,image.png,否,食物，肉，饭菜，夜宵，烤串，烧烤,孔维佳
理发刷,barber-brush,化妆美妆,Makeups,,image.png,否,刷子,齐奉飞
理发剪,barber-clippers,化妆美妆,Makeups,,image.png,否,理发,齐奉飞
棒球,baseball,体育运动,Sports,,image.png,否,棒球，运动，体育，板球,常留留
棒球棍,baseball-bat,体育运动,Sports,,baseball-bat.jpg,是,,杨威
棒球帽,baseball-cap,服饰,Clothes,,image.png,是,运动帽，帽子，棒球帽，潮牌,马玉欣
篮球,basketball,体育运动,Sports,,image.png,否,追波，dribbble，篮球，设计,常留留
篮球服,basketball-clothes,服饰,Clothes,,image.png,是,篮球服，运动，球衣，衣服，号码，背心,金磊
篮球架1,basketball-one,体育运动,Sports,,image.png,是,篮球，篮板，三分球，得分，进球，进攻，命中，投篮，球类，球，体育,梁超
篮球架,basketball-stand,体育运动,Sports,,image.png,否,篮球架 运动 篮板,金磊
蝙蝠,bat,动物,Animals,,bat.jpg,否,,杨威
电池充电,battery-charge,能源 & 生命,Energy,,image.png,是,电池，充电,齐奉飞
电池没电,battery-empty,能源 & 生命,Energy,,image.png,是,电池，电量空,齐奉飞
电池故障,battery-failure,硬件,Hardware,,battery-failure.jpg,是,,杨威
电池满电,battery-full,能源 & 生命,Energy,,image.png,是,电池，满电,齐奉飞
电池充电,battery-storage,硬件,Hardware,,battery-storage.jpg,是,,杨威
电池提示,battery-tips,硬件,Hardware,,battery-tips.jpg,否,,杨威
电池运行,battery-working,能源 & 生命,Energy,,image.png,是,电池，电池电量，能量,齐奉飞
电池,battery-working-one,硬件,Hardware,,image.png,是,电池，电量，充电，能量，能源,孟祥瑞
海滩雨伞,beach-umbrella,生活,Life,,image.png,是,海滩雨伞 度假 休息,金磊
熊,bear,动物,Animals,,bear.jpg,否,,杨威
美颜,beauty,美颜调整,Operate,,image.png,是,美妆，变美，化妆，美女，女性，女性用户,金磊
美容仪,beauty-instrument,化妆美妆,Makeups,,image.png,否,扫码仪，扫描，识别，美容仪,史晓彤
床头柜,bedside,生活,Life,,image.png,否,床头柜，家居，家具，装修,齐奉飞
床头柜,bedside-two,生活,Life,,image.png,否,床头柜，家具，家居，台灯,金磊
蜜蜂,bee,动物,Animals,,bee.jpg,否,,杨威
啤酒,beer,食品,Foods,,image.png,是,饮料，酒水，酒精，啤酒,孔维佳
啤酒杯,beer-mug,食品,Foods,,image.png,是,,齐奉飞
behance,behance,品牌,Brand,,image.png,是,设计，案例，作品，logo，behance,齐奉飞
上课铃,bell-ring,多媒体音乐,Music,,image.png,是,铃声，闹钟，信号，上课,金磊
腰带,belt,服饰,Clothes,,image.png,是,皮带，皮具，腰带,马玉欣
奔驰,benz,抽象图形,Abstract,,image.png,否,奔驰，三叉戟，轮毂，三角，饼状,金磊
贝塞尔曲线,bezier-curve,链接,Connect,,image.png,否,贝塞尔曲线，编辑，节点,金磊
吊带裙,bib,母婴儿童,Baby,,image.png,否,围巾，就餐裙,齐奉飞
大钟表,big-clock,时间日期,Time,,image.png,是,钟表，时间，表，复古,金磊
错误,big-x,符号标识,Character,,image.png,是,错误，埃克斯，特步，叉,金磊
自行车,bike,硬件,Hardware,,image.png,是,自行车，单车，交通，出行，健身，锻炼,常留留
法案,bill,基础,Base,,image.png,否,标签，书签，文本，法案，订单，合同，文档，规则,史晓彤
鸟,bird,动物,Animals,,bird.jpg,是,,杨威
生日蛋糕,birthday-cake,食品,Foods,,image.png,是,生日蛋糕，奶油蛋糕,金磊
比特币,bitcoin,符号标识,Character,,image.png,是,比特币符号，标志,金磊
台球黑八,black-eight,体育运动,Sports,,image.png,否,台球黑八，运动，台球，斯诺克，桌球,金磊
黑板,blackboard,其它,Others,,blackboard.jpg,是,,杨威
刀片,blade,化妆美妆,Makeups,,image.png,否,刀,齐奉飞
保佑,bless,手势动作,Hands,,image.png,是,手势，祈祷，拜佛，行李,陈子豪
行内公式,block,编辑,Edit,,image.png,是,公式,齐奉飞
俄罗斯方块,block-eight,游戏,Game,,image.png,否,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-five,游戏,Game,,image.png,是,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-four,游戏,Game,,image.png,否,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-nine,游戏,Game,,image.png,是,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-one,游戏,Game,,image.png,是,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-seven,游戏,Game,,image.png,否,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-six,游戏,Game,,image.png,否,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-ten,游戏,Game,,image.png,是,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-three,游戏,Game,,image.png,否,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
俄罗斯方块,block-two,游戏,Game,,image.png,是,俄罗斯方块，拼接，模块，组合，组件，游戏，娱乐，乐高，魔方,金磊
区块链,blockchain,电商财产,Money,,image.png,否,区块，链条，虚拟网,齐奉飞
模块箭头,blocks-and-arrows,抽象图形,Abstract,,image.png,是,模块箭头，分类,金磊
开花,bloom,能源 & 生命,Energy,,bloom.jpg,否,,杨威
花,blossom,能源 & 生命,Energy,,blossom.jpg,是,,杨威
蓝牙,bluetooth,其它,Others,,image.png,是,蓝牙，设备，无线连接，打开蓝牙,齐奉飞
壁炉,boiler,生活,Life,,boiler.jpg,是,,杨威
插头,bolt-one,硬件,Hardware,,image.png,是,电器，电源，充电器，插排，插座,孟祥瑞
骨头,bone,食品,Foods,,image.png,是,骨骼，健康，身体，骨头,孔维佳
书籍,book,办公文档,Office,,image.png,是,书本，笔记，文件，知识，图书，书籍，学习，信息,常留留
书籍1,book-one,办公文档,Office,,image.png,是,书本，笔记，文件，知识，图书，书籍，学习，信息,常留留
书籍-打开,book-open,办公文档,Office,,image.png,否,书本，笔记，文件，打开书本，知识，图书，书籍，学习，信息,常留留
书签,bookmark,基础,Base,,image.png,是,书签，标签，记录，图书，书本,齐奉飞
书签,bookmark-one,基础,Base,,image.png,是,书签，便签，标记，标签,齐奉飞
书签3,bookmark-three,其它,Others,,bookmark-one.jpg,是,,杨威
书籍,bookshelf,办公文档,Office,,image.png,是,知识，书籍，书架，学习，信息,金磊
辅助座椅,booster-car-seat,母婴儿童,Baby,,image.png,否,座椅,齐奉飞
摊位,booth,建筑,Build,,image.png,否,超市，门店，作坊，摊位,王小犇
靴子,boots,服饰,Clothes,,image.png,是,皮靴，高筒靴，女士靴子，雨靴,马玉欣
奶瓶,bottle,医疗健康,Health,,image.png,是,育儿，哺育，婴幼儿科,常留留
酒瓶,bottle-one,食品,Foods,,image.png,否,酒水，瓶子，容器，塑料瓶，玻璃瓶,孔维佳
瓶装,bottle-three,食品,Foods,,image.png,否,酒水，瓶子，容器，塑料瓶，玻璃瓶,孔维佳
瓶子,bottle-two,食品,Foods,,image.png,是,酒水，瓶子，容器，塑料瓶，玻璃瓶,孔维佳
底栏,bottom-bar,编辑,Edit,,image.png,否,布局，排版，下,齐奉飞
保留球,bottom-bar-one,体育运动,Sports,,image.png,否,球,
领结,bow,服饰,Clothes,,image.png,否,饰品，蝴蝶结，领带，发卡,马玉欣
面条,bowl,食品,Foods,,image.png,是,食物，碗，吃的，美食，碗，热饭,齐奉飞
碗,bowl-one,食品,Foods,,image.png,否,容器，饭菜，餐饮，餐具，热汤,孔维佳
保龄球,bowling,体育运动,Sports,,image.png,否,保龄球，球类，球，圆球，硬球，体育,梁超
盒子,box,办公文档,Office,,image.png,否,箱子，盒子，纸盒，容器，办公用品，收纳,齐奉飞
拳击,boxing,体育运动,Sports,,image.png,是,拳击，手套，护具，套，训练，打击，拳头，力量，对打，攻击，跆拳道，摔跤，体育,梁超
拳击1,boxing-one,体育运动,Sports,,image.png,是,拳击，手套，护具，套，训练，打击，拳头，力量，对打，攻击，跆拳道，摔跤，体育,梁超
男孩,boy,母婴儿童,Baby,,image.png,否,人，性别，男,齐奉飞
男孩1,boy-one,母婴儿童,Baby,,image.png,否,人，性别，男,齐奉飞
男儿童车,boy-stroller,母婴儿童,Baby,,image.png,是,童车,齐奉飞
男孩2,boy-two,母婴儿童,Baby,,image.png,否,人，性别，男,齐奉飞
